gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulation
ENSBIXG00005029834	-4.575932151066768	3.96580108033954	-12.326932495888526	7.171665793887928e-8	4.57731569294897e-4	8.2989459165824	down
ENSBIXG00005001381	-5.926784567974731	3.864533126455416	-12.918812743796382	4.374335755279322e-8	4.57731569294897e-4	8.290871420007358	down
ENSBIXG00005004010	-3.357618187899437	9.830965591793404	-10.948316190054129	2.4698688582699315e-7	8.098070503706054e-4	7.5121789621750645	down
ENSBIXG00005001579	-5.520328772145251	4.328043601822434	-10.919697943637763	2.5375857434253206e-7	8.098070503706054e-4	7.223795961277475	down
ENSBIXG00005023663	-3.066692443799691	3.9069042789668247	-9.45699580429735	1.1009648587202579e-6	0.002180478499969299	5.9972731749142785	down
ENSBIXG00005019601	-2.6185931960519024	7.079065729739673	-9.379690253030203	1.1957187230540613e-6	0.002180478499969299	5.9495054577945234	down
ENSBIXG00005018867	3.201860092753302	8.416022441582614	8.944749354279974	1.9222738704268653e-6	0.002726425106222104	5.461828410239315	up
ENSBIXG00005007230	-3.7874606390396854	2.9481383444048714	-9.091041654710018	1.635331375626508e-6	0.0026093756262340465	5.437782509368885	down
ENSBIXG00005002897	-3.018650147129579	3.210649169601523	-8.484837630798717	3.2393222928404003e-6	0.0038105985658566668	4.936049446406955	down
ENSBIXG00005000033	2.83926176798306	5.409693130227556	8.383439523714372	3.6447716116426154e-6	0.003877125801884832	4.865704688968794	up
ENSBIXG00005027231	-3.4176015479213473	4.211611161631574	-8.246491132166154	4.281367934124419e-6	0.003962285985095841	4.718230010566414	down
ENSBIXG00005010189	3.0611708664114623	4.6874241044521945	8.233900898425896	4.345632886121565e-6	0.003962285985095841	4.704325706270927	up
ENSBIXG00005012082	-3.0397582648150303	2.9726776027680777	-8.150714624363474	4.797218241377109e-6	0.00408243272341192	4.54432205161563	down
ENSBIXG00005019123	-2.479371195191148	3.274719860487832	-8.049727860047224	5.41437747659548e-6	0.004319658030546331	4.4747092775147035	down
ENSBIXG00005020118	-2.5455644651654556	3.1005050663068916	-7.921593007625941	6.3231482473201275e-6	0.004747940433943614	4.319061195769381	down
ENSBIXG00005019496	-9.694334696789614	1.2130796329286453	-10.17038103719332	5.266679845110993e-7	0.0013445833644568366	4.108158647131528	down
ENSBIXG00005006815	2.991741875027156	4.645236339942124	7.615428268390444	9.229414176502017e-6	0.0059095972590324595	3.967412385834592	up
ENSBIXG00005015511	-1.6651845617745042	5.867319205062445	-7.612868202498403	9.259063468911022e-6	0.0059095972590324595	3.904067493671871	down
ENSBIXG00005025666	-1.7304618498881412	7.342631744939713	-7.514466403625742	1.0479919049739064e-5	0.006370293650948531	3.7414654823501454	down
ENSBIXG00005012793	2.351564324913096	7.221129078181421	7.4098432288751495	1.1969899535346321e-5	0.006945262162213446	3.6157137110646502	up
