transcript_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulation
PB.2484.3	-8.581158263280393	0.8018386819448488	-7.572172426762512	2.4655525949356753e-5	0.03733983802628906	2.0806669775381827	down
PB.938.669	2.3294887314765993	3.3156524579861304	6.639032723512408	7.20177860063002e-5	0.04085864500335454	2.0249270770257635	up
PB.1439.16	-1.8037332297316295	4.340513278446477	-6.666608797196041	6.966982114979704e-5	0.04085864500335454	1.9916963129670604	down
PB.6828.14	-2.038934548701036	3.520216922711715	-6.619442224863312	7.373793059765178e-5	0.04085864500335454	1.9834745629667783	down
ENSBIXT00005001323	-3.1323110089627764	3.7917582622537735	-6.611286701604786	7.446712216210659e-5	0.04085864500335454	1.9777231812053682	down
PB.35014.89	-6.177056617107246	-0.4212627696656013	-7.471237752105626	2.7555318901388782e-5	0.03733983802628906	1.974003327954847	down
PB.938.291	3.0102959506580538	1.7384170237652128	6.54918459264165	8.028314933093456e-5	0.04165079834114451	1.9729667485475542	up
ENSBIXT00005053696	-2.155259376863229	3.9099328735067385	-6.628757929369393	7.291447064518969e-5	0.04085864500335454	1.9696265693054666	down
PB.32432.1	3.7336513715789494	3.2343370611825035	6.559476485598998	7.928617406066922e-5	0.04165079834114451	1.9677003646732434	up
PB.16479.126	-2.7760123715420635	4.213729912754094	-6.613513475477867	7.426725141874943e-5	0.04085864500335454	1.9520764472237229	down
ENSBIXT00005029675	-3.0497649875460082	3.735891633694383	-6.5905958748589875	7.63524391902391e-5	0.04121738650770496	1.948768888404941	down
PB.29663.80	-6.971411824030318	0.029538024222427905	-7.406743642326365	2.9601529056210167e-5	0.03733983802628906	1.9461066733526078	down
ENSBIXT00005037691	-2.9319984282431437	1.8773967476876505	-6.512629861228458	8.393559531633364e-5	0.04224484823218088	1.9409841691256053	down
PB.36828.19	-2.101852140277661	3.3984988863045054	-6.573456260931046	7.795339933814601e-5	0.04165079834114451	1.9319907778371856	down
